Species	Assessment	Tanglees	IDs	Metadata
Bohemannia pulverosella	monophyletic		MM08668,MM08667,MM06852	
Bohemannia quadrimaculella	monophyletic		UKLB15G02	
Ectoedemia agrimoniae	monophyletic		RMNH.INS.12613,RMNH.INS.17805,MM22760,MM11176,MM09665,RMNH.INS.11302,MM09664	
Ectoedemia albibimaculella	monophyletic		MM14510,MM14511,MM14509	
Ectoedemia albifasciella	paraphyletic	Ectoedemia cerris,Ectoedemia contorta,Ectoedemia pubescivora	MM09671,RMNH.INS.17845,KLM Lep 00294,RMNH.INS.17819,RMNH.INS.12836,RMNH.INS.12837,RMNH.INS.12651,RMNH.INS.17914,RMNH.INS.12974,RMNH.INS.11386,RMNH.INS.12805,RMNH.INS.12644,RMNH.INS.11925,RMNH.INS.17855,RMNH.INS.11425,RMNH.INS.17807,MM00917,RMNH.INS.17778,KLM Lep 00313,KLM Lep 00288,RMNH.INS.12999,RMNH.INS.12975,RMNH.INS.12949,RMNH.INS.12924,RMNH.INS.12902,RMNH.INS.12798	
Ectoedemia algeriensis	monophyletic		RMNH.INS.23876,RMNH.INS.23842	
Ectoedemia amani	monophyletic		RMNH.INS.23678,RMNH.INS.23820,MM19341	
Ectoedemia andalusiae	monophyletic		RMNH.INS.23873,RMNH.INS.11633,RMNH.INS.12717,RMNH.INS.12704	
Ectoedemia angulifasciella	monophyletic		KLM Lep 00282,RMNH.INS.12784,MM00885,KLM Lep 00302,KLM Lep 00299,RMNH.INS.17918,RMNH.INS.17803,RMNH.INS.12766,RMNH.INS.12763,RMNH.INS.12762,RMNH.INS.12765,RMNH.INS.12917,RMNH.INS.12764,RMNH.INS.17861,RMNH.INS.12885,RMNH.INS.12787,MM14866,RMNH.INS.12761,RMNH.INS.11769,RMNH.INS.11768,RMNH.INS.11290,MM09617,RMNH.INS.12767,RMNH.INS.12760	
Ectoedemia arcuatella	polyphyletic	Ectoedemia atricollis,Ectoedemia rubivora	MM20732,RMNH.INS.11713,RMNH.INS.12594,RMNH.INS.17801,MM20736,RMNH.INS.12593,RMNH.INS.11306,MM09631,RMNH.INS.12880	
Ectoedemia argyropeza	monophyletic		RMNH.INS.12889,MM13758,RMNH.INS.17774,RMNH.INS.11741,RMNH.INS.11689,RMNH.INS.11762,RMNH.INS.17622,MM15195,MM15194,BC ZSM Lep 50963	
Ectoedemia atricollis	paraphyletic	Ectoedemia arcuatella,Ectoedemia rubivora	RMNH.INS.11299,RMNH.INS.17876,RMNH.INS.12934,RMNH.INS.12818,RMNH.INS.12817,RMNH.INS.12803,RMNH.INS.12021,RMNH.INS.17655,RMNH.INS.11278	
Ectoedemia atrifrontella	monophyletic		KLM Lep 00318	
Ectoedemia caradjai	monophyletic		RMNH.INS.23839,RMNH.INS.12862,TLMF Lep 04515,RMNH.INS.23872	
Ectoedemia cerris	monophyletic		RMNH.INS.23880,RMNH.INS.23836	
Ectoedemia contorta	monophyletic		RMNH.INS.23881,RMNH.INS.23835,TLMF Lep 03034,RMNH.INS.12948	
Ectoedemia coscoja	monophyletic		RMNH.INS.23845	
Ectoedemia decentella	monophyletic		UKLB28H11,MM19339,KLM Lep 00289	
Ectoedemia erythrogenella	monophyletic		RMNH.INS.23602,RMNH.INS.11534,RMNH.INS.17850,RMNH.INS.12850	
Ectoedemia gilvipennella	monophyletic		RMNH.INS.23878,RMNH.INS.23840	
Ectoedemia hannoverella	monophyletic		RMNH.INS.12810,MM19342,RMNH.INS.12856,RMNH.INS.17838,TLMF Lep 07376,TLMF Lep 07334,RMNH.INS.11738,MM20603	
Ectoedemia haraldi	monophyletic		RMNH.INS.23424,RMNH.INS.23874,RMNH.INS.23662	
Ectoedemia heckfordi	monophyletic		RMNH.INS.23848,RMNH.INS.23849,RMNH.INS.23730	
Ectoedemia hendrikseni	monophyletic		RMNH.INS.23828,RMNH.INS.23720	
Ectoedemia heringella	monophyletic		RMNH.INS.23674,RMNH.INS.11865,RMNH.INS.11873,RMNH.INS.23594,RMNH.INS.11872,RMNH.INS.11864,RMNH.INS.23615,RMNH.INS.23512	
Ectoedemia heringi	polyphyletic	Ectoedemia liechtensteini,Ectoedemia phyllotomella,Ectoedemia subbimaculella	RMNH.INS.23514,RMNH.INS.23903,RMNH.INS.23908,RMNH.INS.23753,RMNH.INS.17618,RMNH.INS.17766,RMNH.INS.23907,RMNH.INS.17767,RMNH.INS.23910,RMNH.INS.23905,RMNH.INS.11353,RMNH.INS.23906,RMNH.INS.23904,RMNH.INS.17885,RMNH.INS.11356,RMNH.INS.11352,TLMF Lep 04517,RMNH.INS.17846	
Ectoedemia ilicis	monophyletic		RMNH.INS.23667,RMNH.INS.12715,RMNH.INS.23841,RMNH.INS.12714	
Ectoedemia intimella	monophyletic		RMNH.INS.17776,RMNH.INS.11373,RMNH.INS.17642,RMNH.INS.12773,RMNH.INS.11737,MM18061,MM07013,MM01845	
Ectoedemia klimeschi	monophyletic		RMNH.INS.17828,RMNH.INS.17827	
Ectoedemia leucothorax	monophyletic		RMNH.INS.11637,RMNH.INS.23879,RMNH.INS.23834	
Ectoedemia liebwerdella	monophyletic		RMNH.INS.23684	
Ectoedemia liechtensteini	monophyletic		RMNH.INS.11418,RMNH.INS.17890,RMNH.INS.11417	
Ectoedemia longicaudella	monophyletic		KLM Lep 00290,RMNH.INS.23685,KLM Lep 00292,TLMF Lep 02319,BC ZSM Lep 50967	
Ectoedemia louisella	monophyletic		MM19338	
Ectoedemia mahalebella	monophyletic		RMNH.INS.11676,RMNH.INS.23825,RMNH.INS.12976,RMNH.INS.12600,RMNH.INS.23600,RMNH.INS.11674	
Ectoedemia minimella	monophyletic		MM14678,MM17953,RMNH.INS.12778,RMNH.INS.12988,RMNH.INS.12987	
Ectoedemia occultella	monophyletic		RMNH.INS.17874,RMNH.INS.12802,RMNH.INS.17786,RMNH.INS.17784,MM14074,RMNH.INS.11746,MM00867,RMNH.INS.544454,MM06332,RMNH.INS.544453,BC ZSM Lep 46330,MM00868,MM00040	
Ectoedemia phaeolepis	monophyletic		RMNH.INS.23844,RMNH.INS.23829	
Ectoedemia phyllotomella	paraphyletic	Ectoedemia liechtensteini	RMNH.INS.11416,RMNH.INS.11414	
Ectoedemia preisseckeri	monophyletic		RMNH.INS.23871,RMNH.INS.23870	
Ectoedemia pseudoilicis	monophyletic		RMNH.INS.23833,RMNH.INS.23831	
Ectoedemia pubescivora	monophyletic		RMNH.INS.23752,RMNH.INS.23621,RMNH.INS.23620,RMNH.INS.12900	
